# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 09 15:47:59 AEDT 2019 [seed=1575866875695]
# -overwrite ebola_liberia_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-41439.03217335294	-265.5780916974815	-41173.45408165546	2.7870089135704936	2013.1192542221995	25.085977565213167	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005000000000000004	-41173.45408165546	0.0	-253.06515623251127
5000	-38733.35272998509	-377.3674352063758	-38355.985294778715	1.8911797417877978	2014.0150833939822	24.143966378186164	1.1854330915236482	-0.32981094595944915	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.07630822994188173	0.005	0.005	-38355.985294778715	0.0	-365.3720704812314
10000	-37892.67231959667	-386.55949204786185	-37506.11282754881	1.7532668210026612	2014.1529963147673	22.2028230453427	1.6155121990673416	-0.07000719661119281	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.029059044823545287	0.005	0.004999999999999995	-37506.11282754881	0.0	-374.91842514151136
15000	-37360.906557319024	-375.8497701642724	-36985.056787154754	1.7646699865303583	2014.1415931492395	21.33744124010854	1.893409810376877	0.14677440264598585	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005360836914809569	0.005	0.005000000000000004	-36985.056787154754	0.0	-364.17932968872844
20000	-36904.467498145765	-370.5069028752754	-36533.96059527049	1.6906343067775091	2014.2156288289923	21.080526103682793	1.6988310326837157	0.07086782939384983	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.004220462112107928	0.005	0.0049999999999999975	-36533.96059527049	0.0	-358.9146516683768
25000	-36632.65488617693	-375.3164057693938	-36257.33848040754	1.689721102954221	2014.2165420328156	21.239486306164945	1.390083630976034	-0.15462901378526706	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.005938598377103734	0.005	0.005000000000000001	-36257.33848040754	0.0	-363.63696019304774
30000	-36454.55505592369	-346.1081757696445	-36108.44688015404	1.7064921673793252	2014.1997709683906	19.984537286386605	1.9694841311891655	0.24864495646358908	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030028974373166355	0.005	0.004999999999999998	-36108.44688015404	0.0	-334.28652770462304
35000	-36198.576344964924	-318.5718069457629	-35880.00453801916	1.66148001718679	2014.2447831185832	19.167001706445447	1.9243981325678223	0.37024767672017456	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01917558808686923	0.005	0.004999999999999992	-35880.00453801916	0.0	-306.65026338391743
40000	-35849.30061763274	-317.51912168917846	-35531.781495943564	1.682504741861547	2014.2237583939084	19.08756427201356	2.198712630498263	0.5002048070142309	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05385455074933482	0.005	0.004999999999999993	-35531.781495943564	0.0	-305.39826032856905
45000	-35634.58680261257	-295.75083695598966	-35338.83596565658	1.650958012834333	2014.2553051229356	18.353060230561944	3.287676984675304	0.8622734795637543	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.01856927313827762	0.005	0.004999999999999992	-35338.83596565658	0.0	-283.3384665884093
50000	-35442.88821908559	-282.4511033903907	-35160.4371156952	1.6700156322682636	2014.2362475035015	17.812533931359216	3.3335710363167013	0.8053727383328866	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.012149147135992426	0.005	0.005000000000000007	-35160.4371156952	0.0	-270.10847355710524
55000	-35266.249224630155	-276.9443469191767	-34989.30487771098	1.663398106807488	2014.2428650289623	17.816891597749354	4.884130275439931	1.2719713281734513	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0501408824557946	0.005	0.004999999999999996	-34989.30487771098	0.0	-264.0591195198187
60000	-35099.74057843934	-236.3840977079339	-34863.35648073141	1.6729557756836893	2014.2333073600862	16.55855826453015	3.05005228913624	1.0394171856794612	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.018330028853681835	0.005	0.0049999999999999975	-34863.35648073141	0.0	-223.79506449905395
65000	-34974.33890251969	-226.73764535591417	-34747.60125716378	1.640494386600204	2014.2657687491696	16.07771170934596	3.324230451757684	1.0570159426172683	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.003790356248774194	0.005	0.0049999999999999975	-34747.60125716378	0.0	-214.1600899935246
70000	-34925.34401715881	-225.17112566469154	-34700.17289149412	1.6619551647626083	2014.2443079710074	15.92102502902544	3.328984567184642	1.0172937005005542	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.011789969298694341	0.005	0.0050000000000000044	-34700.17289149412	0.0	-212.6172932707777
75000	-34782.9315351593	-221.11536448268765	-34561.81617067662	1.6583645954406812	2014.2478985403293	15.811426304188887	3.922288969100495	1.2248864991040822	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.015147057521753039	0.005	0.0049999999999999906	-34561.81617067662	0.0	-208.34721918068016
80000	-34703.01977850013	-210.33705736282838	-34492.6827211373	1.6589630515530502	2014.247300084217	15.649400157032172	2.4749585108885963	0.9297806629577929	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.02544038282154474	0.005	0.0050000000000000044	-34492.6827211373	0.0	-197.84344571967216
85000	-34651.316454286374	-221.88677961380728	-34429.42967467257	1.6473550237592491	2014.2589081120107	15.83208253694164	4.294380009143122	1.389354072887508	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.014686857137601868	0.005	0.005	-34429.42967467257	0.0	-208.95508341787425
90000	-34613.93612773655	-216.45283635254768	-34397.48329138401	1.6507693193258022	2014.2554938164442	15.363385285260131	3.762930433234601	1.279142050556067	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024228803073890585	0.005	0.005000000000000002	-34397.48329138401	0.0	-203.61227360156926
95000	-34574.632660077914	-200.937890022119	-34373.694770055794	1.639025791032544	2014.2672373447374	15.132064783759242	2.9022740141238623	1.1019074498722286	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.023121048155880605	0.005	0.004999999999999995	-34373.694770055794	0.0	-188.27678598822465
100000	-34550.96473649686	-202.31430799372978	-34348.65042850313	1.6313401335466233	2014.2749230022232	14.975333656328372	3.1565897611077154	1.0994369238579602	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.021367655077477215	0.005	0.005000000000000001	-34348.65042850313	0.0	-189.65917872884904
